post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:hema_mozilor,meta:total_sales,meta:wt_fbt_amount,meta:wt_fbt_apply_discount,meta:wt_fbt_discount_type,meta:wt_fbt_pdt_ids,meta:wt_fbt_status,meta:attribute_color,meta:attribute_logo,meta:attribute_pa_color,meta:attribute_pa_size,meta:attribute_size,attribute:Logo,attribute_data:Logo,attribute_default:Logo,attribute:color,attribute_data:color,attribute_default:color,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
Pen,pen,,24,,Writes in royal blue color.,publish,,0,2022-08-17 12:07:52,2,open,woo-pen,,,no,no,null,15,12,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/08/Pen.png ! alt :  ! title : Pen ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/pen/,,,,,,,,0,,,,simple,,Stationary,,,,3,0,no,percentage_discount,[209],yes,,,,,,,,,,,,green,0|1|0,,,,
Pencil,pencil,,25,,Extra dark writing,publish,,0,2022-08-17 12:08:20,2,open,woo-pencil,,,no,no,null,10,8,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/08/Pencil.png ! alt :  ! title : Pencil ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/pencil/,,,,,,,,0,,,,simple,,Stationary,,Pencil,,6,0,no,percentage_discount,[209],yes,,,,,,,,,,,,black,0|1|0,,,,
Sharpner,sharpner,,38,,,publish,,0,2022-08-23 06:18:46,2,open,woo-sharpner,,,no,no,null,5,3,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/08/Sharper.png ! alt :  ! title : Sharper ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/sharpner/,,,,,,,,0,,,,simple,,Stationary,,,,10,,,,,,,,,,,,,,,,,blue,0|1|0,,,,
Scale,scale,,39,,,publish,,0,2022-08-23 06:19:39,2,open,woo-scale,,,no,no,89,10,7,,,,,,instock,no,no,,yes,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/08/Ruler.png ! alt :  ! title : Ruler ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/scale/,,,,,,,,0,,,,simple,,Stationary,,,,14,,,,,,,,,,,,,,,,,red,0|1|0,,,,
V-Neck T-Shirt,v-neck-t-shirt,,126,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a variable product.,draft,,0,2022-10-11 09:55:00,2,open,woo-vneck-tee,,,no,no,null,15,,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/vneck-tee-2.jpg ! alt :  ! title : vneck-tee-2.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/vnech-tee-green-1.jpg ! alt :  ! title : vnech-tee-green-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/vnech-tee-blue-1.jpg ! alt :  ! title : vnech-tee-blue-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=126,,,,,,,,,,,,variable,,Clothing > Tshirts,,,,0,,,,,,,,,,,,,,,,,blue|green|red,0|1|1,,Large|Medium|Small,1|1|1,
V-Neck T-Shirt - red,v-neck-t-shirt-red,126,140,,color: red,publish,,0,2022-10-11 09:55:08,2,closed,woo-vneck-tee-red,woo-vneck-tee,,no,no,null,20,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/vneck-tee-2.jpg ! alt :  ! title : vneck-tee-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=126,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,,red,,,,,,,,,,,,,,
V-Neck T-Shirt - green,v-neck-t-shirt-green,126,141,,color: green,publish,,0,2022-10-11 09:55:09,2,closed,woo-vneck-tee-green,woo-vneck-tee,,no,no,null,20,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/vnech-tee-green-1.jpg ! alt :  ! title : vnech-tee-green-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=126,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,,green,,,,,,,,,,,,,,
V-Neck T-Shirt - blue,v-neck-t-shirt-blue,126,142,,color: blue,publish,,0,2022-10-11 09:55:09,2,closed,woo-vneck-tee-blue,woo-vneck-tee,,no,no,null,15,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/vnech-tee-blue-1.jpg ! alt :  ! title : vnech-tee-blue-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=126,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,,blue,,,,,,,,,,,,,,
Hoodie,hoodie,,127,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a variable product.,draft,,0,2022-10-11 09:55:02,2,open,woo-hoodie,,,no,no,null,42,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-2.jpg ! alt :  ! title : hoodie-2.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-blue-1.jpg ! alt :  ! title : hoodie-blue-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-green-1.jpg ! alt :  ! title : hoodie-green-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-logo-2.jpg ! alt :  ! title : hoodie-with-logo-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=127,,,,,,,,,,,,variable,,Clothing > Accessories|Clothing > Hoodies,,,,19,,,,,,,,,,,Yes | No,1|1|1,,,,,blue|green|red,0|1|1,,,,
"Hoodie - blue, Yes",hoodie-blue-yes,127,150,,"color: blue, Logo: Yes",publish,,0,2022-10-11 09:55:12,2,closed,woo-hoodie-blue-logo,woo-hoodie,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-logo-2.jpg ! alt :  ! title : hoodie-with-logo-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=127,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,Yes,blue,,,,,,,,,,,,,,
"Hoodie - red, No",hoodie-red-no,127,143,,"color: red, Logo: No",publish,,1,2022-10-11 09:55:10,2,closed,woo-hoodie-red,woo-hoodie,,no,no,null,45,42,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-2.jpg ! alt :  ! title : hoodie-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=127,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,No,red,,,,,,,,,,,,,,
"Hoodie - green, No",hoodie-green-no,127,144,,"color: green, Logo: No",publish,,2,2022-10-11 09:55:10,2,closed,woo-hoodie-green,woo-hoodie,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-green-1.jpg ! alt :  ! title : hoodie-green-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=127,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,No,green,,,,,,,,,,,,,,
"Hoodie - blue, No",hoodie-blue-no,127,145,,"color: blue, Logo: No",publish,,3,2022-10-11 09:55:10,2,closed,woo-hoodie-blue,woo-hoodie,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-blue-1.jpg ! alt :  ! title : hoodie-blue-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=127,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,No,blue,,,,,,,,,,,,,,
Hoodie with Logo,hoodie-with-logo,,128,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:03,2,open,woo-hoodie-with-logo,,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-logo-2.jpg ! alt :  ! title : hoodie-with-logo-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=128,,,,,,,,,,,,simple,,Clothing > Hoodies,,,,17,,,,,,,,,,,,,,,,,blue,0|1|0,,,,
T-Shirt,t-shirt,,129,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:03,2,open,woo-tshirt,,,no,no,null,18,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/tshirt-2.jpg ! alt :  ! title : tshirt-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=129,,,,,,,,,,,,simple,,Clothing > Hoodies|Clothing > Tshirts,,,,1,,,,,,,,,,,,,,,,,Gray,0|1|0,,,,
Beanie,beanie,,130,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:04,2,open,woo-beanie,,,no,no,null,20,18,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/beanie-2.jpg ! alt :  ! title : beanie-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=130,,,,,,,,,,,,simple,,Clothing > Accessories,,,,12,,,,,,,,,,,,,,,,,red,0|1|0,,,,
Belt,belt,,131,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:04,2,open,woo-belt,,,no,no,null,65,55,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/belt-2.jpg ! alt :  ! title : belt-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=131,,,,,,,,,,,,simple,,Clothing > Accessories,,,,10,,,,,,,,,,,,,,,,,,,,,,
Cap,cap,,132,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:05,2,open,woo-cap,,,no,no,null,18,16,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/cap-2.jpg ! alt :  ! title : cap-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=132,,,,,,,,,,,,simple,,Clothing > Accessories,,,,11,,,,,,,,,,,,,,,,,yellow,0|1|0,,,,
Sunglasses,sunglasses,,133,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:05,2,open,woo-sunglasses,,,no,no,null,90,,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/sunglasses-2.jpg ! alt :  ! title : sunglasses-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=133,,,,,,,,,,,,simple,,Clothing > Accessories,,,,29,,,,,,,,,,,,,,,,,,,,,,
Hoodie with Pocket,hoodie-with-pocket,,134,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:05,2,open,woo-hoodie-with-pocket,,,no,no,null,45,35,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-pocket-2.jpg ! alt :  ! title : hoodie-with-pocket-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=134,,,,,,,,,,,,simple,exclude-from-catalog|exclude-from-search,Clothing > Hoodies,,,,17,,,,,,,,,,,,,,,,,Gray,0|1|0,,,,
Hoodie with Zipper,hoodie-with-zipper,,135,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:06,2,open,woo-hoodie-with-zipper,,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-zipper-2.jpg ! alt :  ! title : hoodie-with-zipper-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=135,,,,,,,,,,,,simple,,Clothing > Hoodies,,,,18,,,,,,,,,,,,,,,,,,,,,,
