post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:hema_mozilor,meta:total_sales,meta:wt_fbt_amount,meta:wt_fbt_apply_discount,meta:wt_fbt_discount_type,meta:wt_fbt_pdt_ids,meta:wt_fbt_status,meta:attribute_color,meta:attribute_logo,meta:attribute_pa_color,meta:attribute_pa_size,meta:attribute_size,attribute:Logo,attribute_data:Logo,attribute_default:Logo,attribute:color,attribute_data:color,attribute_default:color,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
Long Sleeve Tee,long-sleeve-tee,,136,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:06,2,open,woo-long-sleeve-tee,,,no,no,null,25,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/long-sleeve-tee-2.jpg ! alt :  ! title : long-sleeve-tee-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=136,,,,,,,,,,,,simple,,Clothing > Tshirts,,,,0,,,,,,,,,,,,,,,,,green,0|1|0,,,,
Polo,polo,,137,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:07,2,open,woo-polo,,,no,no,null,20,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/polo-2.jpg ! alt :  ! title : polo-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=137,,,,,,,,,,,,simple,,Clothing > Tshirts,,,,0,,,,,,,,,,,,,,,,,blue,0|1|0,,,,
Album,album,,138,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.","This is a simple, virtual product.",draft,,0,2022-10-11 09:55:07,2,open,woo-album,,,yes,yes,null,15,,,,,,,instock,no,no,,no,taxable,,,,,,,1,1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/album-1.jpg ! alt :  ! title : album-1.jpg ! desc :  ! caption : ,Single 1::https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg | Single 2::https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/album.jpg,https://demo28.wtdev.xyz/?post_type=product&p=138,,,,,,,,,,,,simple,,Music,,,,0,,,,,,,,,,,,,,,,,,,,,,
Single,single,,139,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.","This is a simple, virtual product.",draft,,0,2022-10-11 09:55:08,2,open,woo-single,,,yes,yes,null,3,2,,,,,,instock,no,no,,no,taxable,,,,,,,1,1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/single-1.jpg ! alt :  ! title : single-1.jpg ! desc :  ! caption : ,Single::https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,https://demo28.wtdev.xyz/?post_type=product&p=139,,,,,,,,,,,,simple,,Music,,,,0,,,,,,,,,,,,,,,,,,,,,,
T-Shirt with Logo,t-shirt-with-logo,,146,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:11,2,open,Woo-tshirt-logo,,,no,no,null,18,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/t-shirt-with-logo-1.jpg ! alt :  ! title : t-shirt-with-logo-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=146,,,,,,,,,,,,simple,,Clothing > Tshirts,,,,0,,,,,,,,,,,,,,,,,Gray,0|1|0,,,,
Beanie with Logo,beanie-with-logo,,147,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:11,2,open,Woo-beanie-logo,,,no,no,null,20,18,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/beanie-with-logo-1.jpg ! alt :  ! title : beanie-with-logo-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=147,,,,,,,,,,,,simple,,Clothing > Accessories,,,,13,,,,,,,,,,,,,,,,,red,0|1|0,,,,
Logo Collection,logo-collection,,148,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a grouped product.,draft,,0,2022-10-11 09:55:11,2,open,logo-collection,,128|129|130,no,no,null,18,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/logo-1.jpg ! alt :  ! title : logo-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/beanie-with-logo-1.jpg ! alt :  ! title : beanie-with-logo-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/t-shirt-with-logo-1.jpg ! alt :  ! title : t-shirt-with-logo-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-logo-2.jpg ! alt :  ! title : hoodie-with-logo-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=148,,,,,,,,,,,,grouped,,Clothing,,,,0,,,,,,,,,,,,,,,,,,,,,,
WordPress Pennant,wordpress-pennant,,149,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is an external product.,draft,,0,2022-10-11 09:55:12,2,open,wp-pennant,,,no,no,null,11.05,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/pennant-1.jpg ! alt :  ! title : pennant-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=149,,,,,,,,,,,,external,,Decor,,,,0,,,,,,,,,,,,,,,,,,,,,,
Watercolor,watercolor,,200,,,publish,,0,2022-10-26 04:20:52,2,open,wp-watercolor,,,no,no,null,10,,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-49-02.png ! alt :  ! title : 2022-10-26_09-49-02 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/watercolor/,,,,,,,,,,,,simple,,Stationary,,,,1,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Crayons,crayons,,206,,,publish,,0,2022-10-26 04:22:21,2,open,wp-crayons,,,no,no,null,12,,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-47-54.png ! alt :  ! title : 2022-10-26_09-47-54 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/crayons/,,,,,,,,,,,,simple,,Stationary,,,,2,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Adhesive,adhesive,,207,,,publish,,0,2022-10-26 04:23:07,2,open,wp-adhesive,,,no,no,null,5,,,,,,,outofstock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-46-50.png ! alt :  ! title : 2022-10-26_09-46-50 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/adhesive/,,,,,,,,,,,,simple,outofstock,Stationary,,,,0,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Scissors,scissors,,208,,,publish,,0,2022-10-26 04:23:54,2,open,wp-scissors,,,no,no,null,7,,,,,,,instock,no,no,,no,taxable,,,1,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-43-50.png ! alt :  ! title : 2022-10-26_09-43-50 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/scissors/,,,,,,,,,,,,simple,,Stationary,,,,1,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Notebook,notebook,,209,,"Lined note books. 

[wt_sc_user_available_coupons] ",publish,,0,2022-10-26 04:24:55,2,open,wp-note,,,no,no,null,15,,,,,,,instock,no,no,,no,taxable,215,24|25|37,1,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-42-31.png ! alt :  ! title : 2022-10-26_09-42-31 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/notebook/,,,,,,,,,,,,simple,,Stationary,,,,9,15,yes,percentage_discount,"[39,38]",yes,,,,,,,,,,,,,,,,,
Deluxe Notebook,deluxe-notebook,,215,,Long-size note with more space per page. ,publish,,0,2022-10-26 09:29:16,2,open,wp-deluxenote,,,no,no,null,15,,,,,,,instock,no,no,,no,taxable,,,1,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_14-57-36.png ! alt :  ! title : 2022-10-26_14-57-36 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/deluxe-notebook/,,,,,,,,,,,,simple,,Stationary,,,,10,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Water color,water-color,,420,Colorful materials,,publish,,0,2023-01-21 09:48:37,2,open,Woo-Watercolor,,,no,no,null,10,2,,,,,reduced-rate,instock,no,no,,no,taxable,,,,,,,-1,-1,,,,,https://demo28.wtdev.xyz/index.php/product/water-color/,,,,,,,,,,,,simple,,Stationary,,,,0,0,,percentage_discount,,yes,,,,,,,,,,,,,,,,,
Atlas,atlas,,507,,,publish,,0,2023-02-18 05:38:37,2,open,,,,no,no,null,10,8,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,,,https://demo28.wtdev.xyz/index.php/product/atlas/,,,,,,,,,,,,simple,,Stationary,,,,0,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Ace Duos,samsung-galaxy-ace-duos,,520,"Having a much vaunted reputation of being one of the world's leading budget smartphone makers,<br/> the Samsung Galaxy Ace Duos S6802 does quite well to maintain Samsung's authority in the current market. The device comes in a bar shape and has a sleek look to it. The Ace Duos S6802 is a Smart Dual Active SIM, (GSM + GSM) device with both the inserted SIM cards being active at the same time. If you are on a call on sim 1 and you get a call on sim 2, the call would be diverted to sim 1 and the display would show it as call waiting.The same will be apply for both the Sims. So that we cannot miss out any calls on sim 1 and sim 2. This Samsung phone is run on the Android v2.3 (Gingerbread) OS with a snappy processor speed of 832 MHz. To assure the smooth running of apps, the device comes with an adequate 512 MB of RAM.","'-5 MP Primary Camera
-3.5 inch Capacitive Touchscreen
-Wi-Fi Enabled",publish,,0,2023-03-20 06:37:46,1,open,A11,,,no,no,10,11.99,10.99,0.5,,,,,instock,no,no,,yes,taxable,,,,,,,-1,-1,,,,,https://demo28.wtdev.xyz/index.php/product/samsung-galaxy-ace-duos/,,,,,,,,,,,,simple,,Mobile Phone,Mobile|Smart Phone,,,0,,,,,,,,,,,,,,,,,,,,,,
Formal shoe,formal-shoe,,522,"Formal shoe leather made , black color",Formal shoe leather made,publish,,0,2023-03-20 06:37:46,1,open,A12,,,no,no,14,10,8,0.5,,,,tax-b,instock,no,no,,yes,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2023/03/2023-06-20_02-42-58.png ! alt :  ! title : 2023-06-20_02-42-58 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/formal-shoe/,,,,,,,,1,,,,simple,,Menâ€™s Shoes|Shoes,Foot Wears,,,6,,,,,,,,,,,,,,,,,,,,,,
LED TV,led-tv,,524,LED TV 20 inches by Samsung,LED TV 20 inches,publish,,0,2023-03-20 06:37:46,1,open,A13,,,no,no,18,30,29,1,,,,,instock,no,no,,yes,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2023/03/led-tv.jpg ! alt :  ! title : led-tv.png ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/led-tv/,,,,,,,,,,,,simple,,Tele Vision,Electronics,,,2,,,,,,,,,,,,,,,,,,,,,,
Refrigerator,refrigerator,,526,Double door Refrigerator with auto power saving,Double door Refrigerator,publish,,0,2023-03-20 06:37:47,1,open,A14,,,no,no,0,35,32,2,,,,,outofstock,no,no,,yes,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2023/03/refrigerator.jpg ! alt :  ! title : refrigerator.png ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/refrigerator/,,,,,,,,,,,,simple,outofstock,Refrigerator,Electronics,,,0,,,,,,,,,,,,,,,,,,,,,,
Washing machine,washing-machine,,528,Washing machine with remote control and much more options,Washing machine with remote control,publish,,0,2023-03-20 06:37:47,1,open,A15,,,no,no,28,20,18,2,,,,,instock,no,no,,yes,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2023/03/washing-machine.jpg ! alt :  ! title : washing-machine.png ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/washing-machine/,,,,,,,,,,,,simple,,washing Machine,Electronics,,,2,,,,,,,,,,,,,,,,,,,,,,
Men's Cotton T-Shirt,mens-cotton-t-shirt,,531,Strut on the streets in comfort adorning this slim-fit T-Shirt from the house of Tinted. This unique creation is made using rayon that will highlight your torso. Work hard and play hard as you party through the night in this utterly comfortable T-Shirt.,The images represent actual product though color of the image and product may slightly differ.,publish,,0,2023-03-20 06:37:47,1,open,B11,,,no,no,null,15,10,1,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2023/03/wt-men-t-shirt-red.jpg ! alt :  ! title : wt-men-t-shirt-red.png ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/mens-cotton-t-shirt/,,,,,,,,1,90,,,simple,,Clothing & Accessories > Men > Tops & Tees > T-Shirts,T-Shirts,,,9,,,,,,,,,,,,,,Blue | Red,0|1|1,Red,,,,,,
sale50,sale50,,1232,,,publish,,0,2023-03-14 04:47:08,2,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,,,https://demo28.wtdev.xyz/index.php/product/sale50/,,,,,,,,,,,,simple,,Stationary,,,,0,,,,,,,,,,,,,,,,,,,,,,
Flowers,flowers,,4623,Bunch of flowers sold at low price,,publish,,0,2023-04-06 09:52:02,2,open,,,,no,no,null,10,,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,,,https://demo28.wtdev.xyz/index.php/product/flowers/,,,,,,,,,,,,simple,,Plants,,,,0,,,,,,,,,,,,,,,,,,,,,,
